,S_0,S_1,E_0,E_1,I_0_AS,I_0_GP,I_0_H,I_0_ICU,I_1_AS,I_1_GP,I_1_H,I_1_ICU,R_0_AS,R_0_GP,R_0_H,R_0_ICU,R_1_AS,R_1_GP,R_1_H,R_1_ICU,D_0_AS,D_0_GP,D_0_H,D_0_ICU,D_1_AS,D_1_GP,D_1_H,D_1_ICU
3872,11216611.331810003,0.0,2977776.0295916274,0.0,3497760.7259044745,559368.1211957128,180701.0143146105,15888.34625654188,0.0,0.0,0.0,0.0,5854186.347414642,5228591.800341053,441156.6396178679,16252.592740906814,0.0,0.0,0.0,0.0,0.0,10478.139880442995,1237.714018967966,91.19691317542902,0.0,0.0,0.0,0.0
3873,11200931.77862193,0.0,2975593.682614057,0.0,3498916.9016756974,559130.0528902467,180783.57881266493,15908.380393318275,0.0,0.0,0.0,0.0,5863537.390370331,5235290.039172853,441898.85222254455,16286.595930014191,0.0,0.0,0.0,0.0,0.0,10491.56320475522,1239.796378981087,91.38771263334617,0.0,0.0,0.0,0.0
3874,11185274.91286603,0.0,2973401.772311922,0.0,3500062.0582043673,558889.8915729276,180865.5619033401,15928.39614534467,0.0,0.0,0.0,0.0,5872891.509056984,5241985.414079265,442641.4026826019,16320.641948205543,0.0,0.0,0.0,0.0,0.0,10504.980789738009,1241.8796868850554,91.57875241478061,0.0,0.0,0.0,0.0
3875,11169640.754503021,0.0,2971200.3359959247,0.0,3501196.191246313,558647.6419317517,180946.96298633402,15948.393377793476,0.0,0.0,0.0,0.0,5882248.674017214,5248677.900022676,443384.28860949056,16354.730756015813,0.0,0.0,0.0,0.0,0.0,10518.392585215788,1243.9639359785306,91.77003229828513,0.0,0.0,0.0,0.0
3876,11154029.323189745,0.0,2968989.4110561106,0.0,3502319.2967031635,558403.3086820786,181027.7814693869,15968.371955949902,0.0,0.0,0.0,0.0,5891608.855782785,5255367.472022138,444127.5076122364,16388.86231369162,0.0,0.0,0.0,0.0,0.0,10531.79854112653,1246.0491195533689,91.96155206079469,0.0,0.0,0.0,0.0
3877,11138440.638279919,0.0,2966769.0349605833,0.0,3503431.3706222354,558156.8965664443,181108.0167682883,15988.33174521429,0.0,0.0,0.0,0.0,5900972.024875059,5262054.105153719,444871.0572974776,16423.036581191598,0.0,0.0,0.0,0.0,0.0,10545.198607522487,1248.1352308947269,92.15331147762822,0.0,0.0,0.0,0.0
3878,11122874.718824947,0.0,2964539.245254215,0.0,3504532.409196405,557908.4103543772,181187.6683068839,16008.272611104376,0.0,0.0,0.0,0.0,5910338.151805379,5268737.774550855,445614.93526949745,16457.25351818656,0.0,0.0,0.0,0.0,0.0,10558.592734570857,1250.2222632811552,92.34531032248971,0.0,0.0,0.0,0.0
3879,11107331.583574723,0.0,2962300.0795573536,0.0,3505622.4087639865,557657.8548422097,181266.735517082,16028.194419257596,0.0,0.0,0.0,0.0,5919707.207075496,5275418.455404691,446359.13913026004,16491.513084059774,0.0,0.0,0.0,0.0,0.0,10571.980872554495,1252.3102099846976,92.53754836746967,0.0,0.0,0.0,0.0
3880,11091811.250978425,0.0,2960051.5755645307,0.0,3506701.365808596,557405.2348528912,181345.21783886003,16048.09703543338,0.0,0.0,0.0,0.0,5929079.161177977,5282096.122964434,447103.6664794452,16525.815237907238,0.0,0.0,0.0,0.0,0.0,10585.362971872617,1254.3990642709884,92.73002538304662,0.0,0.0,0.0,0.0
3881,11076313.739151271,0.0,2957793.771085487,0.0,3507769.2769631,557150.5552423471,181423.11471994763,16067.980325463648,0.0,0.0,0.0,0.0,5938453.984587788,5288770.752528759,447848.5149137672,16560.15993853741,0.0,0.0,0.0,0.0,0.0,10598.738983023568,1256.488819397343,92.92274113808567,0.0,0.0,0.0,0.0
3882,11060839.065830825,0.0,2955526.704099043,0.0,3508826.139014795,556893.8209078254,181500.42561541218,16087.844155187677,0.0,0.0,0.0,0.0,5947831.647751251,5295442.319434543,448593.6820260805,16594.547144470973,0.0,0.0,0.0,0.0,0.0,10612.108856582254,1258.5794686102458,93.11569539983714,0.0,0.0,0.0,0.0
3883,11045387.248538855,0.0,2953250.412552053,0.0,3509871.948886005,556635.0367567996,181577.14998918746,16107.688390698675,0.0,0.0,0.0,0.0,5957212.12112802,5302110.799099304,449339.1654087864,16628.976813943205,0.0,0.0,0.0,0.0,0.0,10625.472543285181,1260.6710051549117,93.30888793394985,0.0,0.0,0.0,0.0
3884,11029958.304504372,0.0,2950964.9344546394,0.0,3510906.7036432396,556374.2077217126,181653.28731334294,16127.512898228008,0.0,0.0,0.0,0.0,5966595.3751714,5308776.167001186,450084.9626522387,16663.44890490321,0.0,0.0,0.0,0.0,0.0,10638.829993990355,1262.76342227081,93.50231850446691,0.0,0.0,0.0,0.0
3885,11014552.250657955,0.0,2948670.3078869805,0.0,3511930.40049782,556111.3387610376,181728.8370680273,16147.317544137595,0.0,0.0,0.0,0.0,5975981.380327075,5315438.398677598,450831.07134464214,16697.963375014122,0.0,0.0,0.0,0.0,0.0,10652.181159674547,1264.8567131913808,93.69598687382674,0.0,0.0,0.0,0.0
3886,10999169.103632543,0.0,2946366.5709980987,0.0,3512943.036805738,555846.4348590975,181803.79874147268,16167.102194922103,0.0,0.0,0.0,0.0,5985370.107033507,5322097.469725527,451577.48907208606,16732.520181653403,0.0,0.0,0.0,0.0,0.0,10665.525991433924,1266.9508711441292,93.8898928028648,0.0,0.0,0.0,0.0
3887,10983808.879764255,0.0,2944053.7620046465,0.0,3513944.6100674956,555579.5010258856,181878.17182999873,16186.86671721108,0.0,0.0,0.0,0.0,5994761.525722311,5328753.355801847,452324.2134185773,16767.119281913052,0.0,0.0,0.0,0.0,0.0,10678.864440484665,1269.0458893507177,94.08403605081473,0.0,0.0,0.0,0.0
